id,display,displayAddition1,displayAddition2,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterLanguage_mv,filterMedium_mv,filterSource,filterType_mv,identifier_id_mv,identifier_type_mv,issn_mv,publicationHistory,publisherOriginalLocation_mv,publisherOriginalText_mv,relation_id_mv,relation_text_mv,relation_type_mv,schemaVersion,source,textualHolding_mv,title,usageRestriction,website_description_mv,website_url_mv
EZB15026,Zeitschrift für Bibliothekswesen und Bibliographie (ZfBB) (2003-),"Klostermann ; Nomos, 50 (2003), 1 -",Volltext (Elektronische Zeitschriftenbibliothek),2003-01-01T00:00:00Z,2003,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2042669-0,572z,1864-2950,"50 (2003), 1 -","Frankfurt, M.",Klostermann ; Nomos,AK00004673,Zeitschrift für Bibliothekswesen und Bibliographie : vereinigt mit Zentralblatt für Bibliothekswesen; ZfBB ; Organ des wissenschaftlichen Bibliothekswesens,Erscheint auch als Druck-Ausgabe,0.16.0,AK,"50 (2003), 1 -",Zeitschrift für Bibliothekswesen und Bibliographie (ZfBB) (2003-),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2042669&bibid=DLA␟https://zs.thulb.uni-jena.de/receive/jportal_jpjournal_00000014
EZB150270,"United States Literary Advertiser and Publishers' Circular, The","American Antiquarian Society Historical Periodicals (via EBSCO Host), 2 (1841), 1 - 2 (1841), 1",Volltext (Elektronische Zeitschriftenbibliothek),1841-01-01T00:00:00Z,[1841 TO 1841],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592166-6,572z,,"2 (1841), 1 - 2 (1841), 1","New York, NY",American Antiquarian Society Historical Periodicals (via EBSCO Host),,,,0.16.0,AK,"2 (1841), 1 - 2 (1841), 1","United States Literary Advertiser and Publishers' Circular, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592166&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=6IMR&site=ehost-live
EZB150282,"Universalist Cabinet, The","American Antiquarian Society Historical Periodicals (via EBSCO Host), 1 (1843), 3 - 1 (1844), 12",Volltext (Elektronische Zeitschriftenbibliothek),1843-01-01T00:00:00Z␟1844-01-01T00:00:00Z,[1843 TO 1844],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592172-1,572z,,"1 (1843), 3 - 1 (1844), 12","Essex, Mass.",American Antiquarian Society Historical Periodicals (via EBSCO Host),,,,0.16.0,AK,"1 (1843), 3 - 1 (1844), 12","Universalist Cabinet, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592172&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=6IOT&site=ehost-live
EZB150283,"Universalist Family Visitor, The","American Antiquarian Society Historical Periodicals (via EBSCO Host), 1 (1841), 1 - 1 (1842), 12",Volltext (Elektronische Zeitschriftenbibliothek),1841-01-01T00:00:00Z␟1842-01-01T00:00:00Z,[1841 TO 1842],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592173-3,572z,,"1 (1841), 1 - 1 (1842), 12","Contoocookville, NH",American Antiquarian Society Historical Periodicals (via EBSCO Host),,,,0.16.0,AK,"1 (1841), 1 - 1 (1842), 12","Universalist Family Visitor, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592173&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=585P&site=ehost-live
EZB150284,"Universalist Miscellany, The","American Antiquarian Society Historical Periodicals (via EBSCO Host), 1 (1843), 1 - 6 (1849), 12",Volltext (Elektronische Zeitschriftenbibliothek),1843-01-01T00:00:00Z␟1849-01-01T00:00:00Z,[1843 TO 1849],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592174-5,572z,,"1 (1843), 1 - 6 (1849), 12","Boston, Mass.",American Antiquarian Society Historical Periodicals (via EBSCO Host),,,,0.16.0,AK,"1 (1843), 1 - 6 (1849), 12","Universalist Miscellany, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592174&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=585R&site=ehost-live
EZB150338,"Wampanoag and Operatives' Journal, The","American Antiquarian Society Historical Periodicals (via EBSCO Host), 1 (1842), 3 - 1 (1842), 13",Volltext (Elektronische Zeitschriftenbibliothek),1842-01-01T00:00:00Z,[1842 TO 1842],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592195-2,572z,,"1 (1842), 3 - 1 (1842), 13","Fall River, Mass.",American Antiquarian Society Historical Periodicals (via EBSCO Host),,,,0.16.0,AK,"1 (1842), 3 - 1 (1842), 13","Wampanoag and Operatives' Journal, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592195&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=6INN&site=ehost-live
EZB150402,Wiley & Putnam's Literary News Letter and Monthly Register of New Books Foreign and American,"American Antiquarian Society Historical Periodicals (via EBSCO Host), 1 (1841), 1 - 6 (1847), 62",Volltext (Elektronische Zeitschriftenbibliothek),1841-01-01T00:00:00Z␟1847-01-01T00:00:00Z,[1841 TO 1847],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592286-5,572z,,"1 (1841), 1 - 6 (1847), 62","New York, NY",American Antiquarian Society Historical Periodicals (via EBSCO Host),,,,0.16.0,AK,"1 (1841), 1 - 6 (1847), 62",Wiley & Putnam's Literary News Letter and Monthly Register of New Books Foreign and American,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592286&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=6HWY&site=ehost-live
EZB150790,European Journal of Scandinavian Studies (EJSS) (2010-2024),"De Gruyter Brill, 38 (2010) -",Volltext (Elektronische Zeitschriftenbibliothek),2010-01-01T00:00:00Z,2010,True,Deutsch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2589898-X,572z,2191-1738,38 (2010) -,"Berlin; New York, NY",De Gruyter Brill,,,,0.16.0,AK,38 (2010) -,European Journal of Scandinavian Studies (EJSS) (2010-2024),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2589898&bibid=DLA␟https://www.degruyterbrill.com/journal/key/EJSS/html
EZB15088,Multilingua : Journal of Cross-Cultural and Interlanguage Communication,"Mouton de Gruyter, 1 (1982) -",Volltext (Elektronische Zeitschriftenbibliothek),1982-01-01T00:00:00Z,1982,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2049683-7,572z,1613-3684,1 (1982) -,Berlin [u.a.],Mouton de Gruyter,,,,0.16.0,AK,1 (1982) -,Multilingua : Journal of Cross-Cultural and Interlanguage Communication,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2049683&bibid=DLA␟https://www.degruyterbrill.com/journal/key/MULT/html
EZB151099,Merkur : Deutsche Zeitschrift für europäisches Denken,"Verlag Klett-Cotta ; utb elibrary, 1 (1947), 1 -",Volltext (Elektronische Zeitschriftenbibliothek),1947-01-01T00:00:00Z,1947,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592489-8,572z,2510-4179,"1 (1947), 1 -",Stuttgart,Verlag Klett-Cotta ; utb elibrary,AK00003231,Merkur : deutsche Zeitschrift für europäisches Denken,Erscheint auch als Druck-Ausgabe,0.16.0,AK,"1 (1947), 1 -",Merkur : Deutsche Zeitschrift für europäisches Denken,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592489&bibid=DLA␟https://volltext.merkur-zeitschrift.de
EZB151153,Jahrbuch für germanistische Sprachgeschichte,"De Gruyter, 1 (2010) -",Volltext (Elektronische Zeitschriftenbibliothek),2010-01-01T00:00:00Z,2010,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592838-7,572z,1869-7046,1 (2010) -,"Berlin; New York, NY",De Gruyter,AK01237187,Jahrbuch für germanistische Sprachgeschichte : GGSG ; Perspektiven der germanistischen Sprachgeschichtsforschung,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (2010) -,Jahrbuch für germanistische Sprachgeschichte,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592838&bibid=DLA␟https://www.degruyterbrill.com/journal/key/JBGSG/html
EZB151155,Yearbook of Phraseology,"Mouton de Gruyter, 2010 (2010) -",Volltext (Elektronische Zeitschriftenbibliothek),2010-01-01T00:00:00Z,2010,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2592846-6,572z,1868-6338,2010 (2010) -,"Berlin; New York, NY",Mouton de Gruyter,,,,0.16.0,AK,2010 (2010) -,Yearbook of Phraseology,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2592846&bibid=DLA␟https://www.degruyterbrill.com/journal/key/YOP/html
EZB15141,Journal of African Languages and Linguistics (1979 - 2024),"De Gruyter Brill, 1 (1979) -",Volltext (Elektronische Zeitschriftenbibliothek),1979-01-01T00:00:00Z,1979,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2056477-6,572z,1613-3811,1 (1979) -,Berlin,De Gruyter Brill,,,,0.16.0,AK,1 (1979) -,Journal of African Languages and Linguistics (1979 - 2024),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2056477&bibid=DLA␟https://www.degruyterbrill.com/journal/key/JALL/html
EZB15317,Fabula,"De Gruyter, 1 (1958) -",Volltext (Elektronische Zeitschriftenbibliothek),1958-01-01T00:00:00Z,1958,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2049688-6,572z,1613-0464,1 (1958) -,Berlin [u.a.],De Gruyter,AK00003014,Fabula,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1958) -,Fabula,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2049688&bibid=DLA␟https://www.degruyterbrill.com/journal/key/FABL/html
EZB1550,Brain and Language,"Elsevier, 1 (1974) - 83 (2002)",Volltext (Elektronische Zeitschriftenbibliothek),1974-01-01T00:00:00Z␟2002-01-01T00:00:00Z,[1974 TO 2002],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,1462477-1,572z,1090-2155,1 (1974) - 83 (2002),"Amsterdam [u.a.]; Orlando, Fla.",Elsevier,,,,0.16.0,AK,1 (1974) - 83 (2002),Brain and Language,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?1462477&bibid=DLA␟https://www.sciencedirect.com/science/journal/0093934X
EZB1562,Computer Speech and Language,"Elsevier, 1 (1986) - 16 (2002)",Volltext (Elektronische Zeitschriftenbibliothek),1986-01-01T00:00:00Z␟2002-01-01T00:00:00Z,[1986 TO 2002],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,1462883-1,572z,1095-8363,1 (1986) - 16 (2002),Amsterdam [u.a.]; London,Elsevier,,,,0.16.0,AK,1 (1986) - 16 (2002),Computer Speech and Language,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?1462883&bibid=DLA␟https://www.sciencedirect.com/science/journal/08852308
EZB15654,"Year's Work in Critical and Cultural Theory, The (YWCCT)","Oxford University Press (OUP), 1 (1991) - 25 (2017)",Volltext (Elektronische Zeitschriftenbibliothek),1991-01-01T00:00:00Z␟2017-01-01T00:00:00Z,[1991 TO 2017],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2075561-2,572z,1471-681X,1 (1991) - 25 (2017),Oxford [u.a.],Oxford University Press (OUP),,,,0.16.0,AK,1 (1991) - 25 (2017),"Year's Work in Critical and Cultural Theory, The (YWCCT)",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2075561&bibid=DLA␟https://academic.oup.com/ywcct/issue
EZB157023,"ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)","De Gruyter Brill, 16 (1996), 1 - 41 (2021)",Volltext (Elektronische Zeitschriftenbibliothek),1996-01-01T00:00:00Z␟2021-01-01T00:00:00Z,[1996 TO 2021],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2598795-1,572z,2191-4664,"16 (1996), 1 - 41 (2021)",Berlin,De Gruyter Brill,AK00008801,"ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen",Erscheint auch als Druck-Ausgabe,0.16.0,AK,"16 (1996), 1 - 41 (2021)","ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2598795&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ABITECH/html
EZB15771,Nietzsche-Studien (1972-2021),"De Gruyter, 1 (1972) - 50 (2021)",Volltext (Elektronische Zeitschriftenbibliothek),1972-01-01T00:00:00Z␟2021-01-01T00:00:00Z,[1972 TO 2021],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2049671-0,572z,1613-0790,1 (1972) - 50 (2021),Berlin [u.a.],De Gruyter,AK00004277,Nietzsche-Studien : internationales Jahrbuch für die Nietzsche-Forschung,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1972) - 50 (2021),Nietzsche-Studien (1972-2021),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2049671&bibid=DLA␟https://www.degruyterbrill.com/journal/key/NIET/html
EZB15862,Literacy,"Wiley-Blackwell - SSH, 1 (1967) - 39 (2005)",Volltext (Elektronische Zeitschriftenbibliothek),1967-01-01T00:00:00Z␟2005-01-01T00:00:00Z,[1967 TO 2005],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2148153-2,572z,1467-9345,1 (1967) - 39 (2005),"Oxford; Hoboken, NJ [u.a.]",Wiley-Blackwell - SSH,,,,0.16.0,AK,1 (1967) - 39 (2005),Literacy,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2148153&bibid=DLA␟https://onlinelibrary.wiley.com/journal/17414369
EZB15869,Milton Quarterly,"Wiley-Blackwell - SSH ; Johns Hopkins University Press im Project MUSE ; JSTOR, 1 (1967) - 39 (2005)",Volltext (Elektronische Zeitschriftenbibliothek),1967-01-01T00:00:00Z␟2005-01-01T00:00:00Z,[1967 TO 2005],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,1495391-2,572z,1094-348X,1 (1967) - 39 (2005),"Oxford [u.a.]; Athens, Ohio; Baltimore, Md.",Wiley-Blackwell - SSH ; Johns Hopkins University Press im Project MUSE ; JSTOR,,,,0.16.0,AK,1 (1967) - 39 (2005),Milton Quarterly,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?1495391&bibid=DLA␟https://onlinelibrary.wiley.com/journal/1094348X
EZB158935,Zagreber Germanistische Beiträge. Beihefte,"Abteilung für Germanistik der Philosophischen Fakultät der Universität Zagreb ; CEEOL, 1 (1993) - 9 (2006)",Volltext (Elektronische Zeitschriftenbibliothek),1993-01-01T00:00:00Z␟2006-01-01T00:00:00Z,[1993 TO 2006],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2602419-6,572z,,1 (1993) - 9 (2006),"Zagreb; Frankfurt, M.",Abteilung für Germanistik der Philosophischen Fakultät der Universität Zagreb ; CEEOL,AK00019482,[Zagreber germanistische Beiträge / Beiheft] Zagreber germanistische Beiträge : ZGB B : Jahrbuch für Literatur- und Sprachwissenschaft,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1993) - 9 (2006),Zagreber Germanistische Beiträge. Beihefte,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2602419&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB158943,Archiv für Mittelalterliche Philosophie und Kultur = Archiv za Srednovekovna Filosofija i Kultura,"Izdatelstvo Iztok-Zapad ; CEEOL, 1 (1994) -",Volltext (Elektronische Zeitschriftenbibliothek),1994-01-01T00:00:00Z,1994,True,Bulgarisch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2602499-8,572z,,1 (1994) -,"Sofija; Frankfurt, Main",Izdatelstvo Iztok-Zapad ; CEEOL,,,,0.16.0,AK,1 (1994) -,Archiv für Mittelalterliche Philosophie und Kultur = Archiv za Srednovekovna Filosofija i Kultura,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2602499&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB158989,Acta Universitatis Sapientiae. Philologica,"de Gruyter; Sapientia Hungarian University of Transylvania; Scientia Publishing House ; CEEOL, 1 (2009) -",Volltext (Elektronische Zeitschriftenbibliothek),2009-01-01T00:00:00Z,2009,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2602942-X,572z,2068-2956,1 (2009) -,"Warsaw; Cluj-Napoca; Frankfurt, M.",de Gruyter; Sapientia Hungarian University of Transylvania; Scientia Publishing House ; CEEOL,,,,0.16.0,AK,1 (2009) -,Acta Universitatis Sapientiae. Philologica,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2602942&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB159142,Language and literature : European landmarks of identity = Langue et littérature : repères identitaires en contexte européen = Limba și literatura : repere identitare în context european,"Editura Universităţii din Piteşti ; CEEOL, 18 (2016) -",Volltext (Elektronische Zeitschriftenbibliothek),2016-01-01T00:00:00Z,2016,True,Englisch␟Französisch␟Deutsch␟Spanisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2606627-0,572z,2344-4894,18 (2016) -,Pitești,Editura Universităţii din Piteşti ; CEEOL,,,,0.16.0,AK,18 (2016) -,Language and literature : European landmarks of identity = Langue et littérature : repères identitaires en contexte européen = Limba și literatura : repere identitare în context european,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2606627&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB159157,Studii de Gramatică Contrastivă = Studies in Contrastive Grammar,"Editura Universităţii din Piteşti ; CEEOL, 13 (2010) -",Volltext (Elektronische Zeitschriftenbibliothek),2010-01-01T00:00:00Z,2010,True,Englisch␟Französisch␟Rumänisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2606646-4,572z,2344-4193,13 (2010) -,Pitești,Editura Universităţii din Piteşti ; CEEOL,,,,0.16.0,AK,13 (2010) -,Studii de Gramatică Contrastivă = Studies in Contrastive Grammar,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2606646&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB159844,Proceedings of the American Antiquarian Society,"via EBSCO Host, 1 (1849) - 1 (1858)",Volltext (Elektronische Zeitschriftenbibliothek),1849-01-01T00:00:00Z␟1858-01-01T00:00:00Z,[1849 TO 1858],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2487535-1,572z,,1 (1849) - 1 (1858),"Worcester, Mass.",via EBSCO Host,,,,0.16.0,AK,1 (1849) - 1 (1858),Proceedings of the American Antiquarian Society,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2487535&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9j&jid=6JCL&site=ehost-live
EZB159900,Studii si Cercetari Filologice. Seria Limbi Straine Aplicate = Philological Studies and Research. Applied Foreign Language Series,"Editura Universităţii din Piteşti ; CEEOL, 8 (2009) -",Volltext (Elektronische Zeitschriftenbibliothek),2009-01-01T00:00:00Z,2009,True,Englisch␟Französisch␟Deutsch␟Italienisch␟Russisch␟Portugiesisch␟Spanisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2606661-0,572z,2344-4525,8 (2009) -,Pitești,Editura Universităţii din Piteşti ; CEEOL,,,,0.16.0,AK,8 (2009) -,Studii si Cercetari Filologice. Seria Limbi Straine Aplicate = Philological Studies and Research. Applied Foreign Language Series,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2606661&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB160043,Angermion,"De Gruyter, 3 (2010) -",Volltext (Elektronische Zeitschriftenbibliothek),2010-01-01T00:00:00Z,2010,True,Deutsch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2606724-9,572z,1868-9426,3 (2010) -,"Berlin; New York, NY",De Gruyter,AK00993678,"Angermion : yearbook for Anglo-German literary criticism, intellectual history and cultural transfer ; Jahrbuch für britisch-deutsche Kulturbeziehungen ; yearbook of the Centre for Anglo-German Cultural Relations at Queen Mary, University of London",Erscheint auch als Druck-Ausgabe,0.16.0,AK,3 (2010) -,Angermion,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2606724&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ANG/html
EZB160277,Neue Jugend : eine Zeitschrift für moderne Kunst und jungen Geist (1916/17),"(via De Gruyter Brill), 1 (1916), 7 - 1 (1917), 12",Volltext (Elektronische Zeitschriftenbibliothek),1916-01-01T00:00:00Z␟1917-01-01T00:00:00Z,[1916 TO 1917],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2521403-2,572z,,"1 (1916), 7 - 1 (1917), 12",Berlin; Berlin-Halensee,(via De Gruyter Brill),AK00006262,Neue Jugend : Monatsschrift,Erscheint auch als Druck-Ausgabe,0.16.0,AK,"1 (1916), 7 - 1 (1917), 12",Neue Jugend : eine Zeitschrift für moderne Kunst und jungen Geist (1916/17),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2521403&bibid=DLA␟https://db.saur.de/LEX/autologin?user=marbach
EZB160303,Apeiron : A Journal for Ancient Philosophy and Science,"De Gruyter, 1 (1967) -",Volltext (Elektronische Zeitschriftenbibliothek),1967-01-01T00:00:00Z,1967,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2485291-0,572z,2156-7093,1 (1967) -,"Berlin; New York, NY; Clayton, Vic.; Edmonton, Alta.; Kelowna, BC",De Gruyter,,,,0.16.0,AK,1 (1967) -,Apeiron : A Journal for Ancient Philosophy and Science,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2485291&bibid=DLA␟https://www.degruyterbrill.com/journal/key/APEIRON/html
EZB162996,American Literary Gazette & Publishers' Circular,"American Antiquarian Society Historical Periodicals via EBSCO Host, 2 (1863), 1 - 6 (1865), 4",Volltext (Elektronische Zeitschriftenbibliothek),1863-01-01T00:00:00Z␟1865-01-01T00:00:00Z,[1863 TO 1865],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2611823-3,572z,,"2 (1863), 1 - 6 (1865), 4","Philadelphia, PA",American Antiquarian Society Historical Periodicals via EBSCO Host,,,,0.16.0,AK,"2 (1863), 1 - 6 (1865), 4",American Literary Gazette & Publishers' Circular,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2611823&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9k&jid=6F7E&site=ehost-live
EZB163015,American Phonetic Journal,"American Antiquarian Society Historical Periodicals via EBSCO Host, 1 (1855), 1 - 1 (1855), 6",Volltext (Elektronische Zeitschriftenbibliothek),1855-01-01T00:00:00Z,[1855 TO 1855],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2611880-4,572z,,"1 (1855), 1 - 1 (1855), 6","Cincinnati, Ohio",American Antiquarian Society Historical Periodicals via EBSCO Host,,,,0.16.0,AK,"1 (1855), 1 - 1 (1855), 6",American Phonetic Journal,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2611880&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9k&jid=6J0V&site=ehost-live
EZB163026,American Publishers' Circular & Literary Gazette,"American Antiquarian Society Historical Periodicals via EBSCO Host, 1 (1855), 18 - 7 (1861), 10",Volltext (Elektronische Zeitschriftenbibliothek),1855-01-01T00:00:00Z␟1861-01-01T00:00:00Z,[1855 TO 1861],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2611822-1,572z,,"1 (1855), 18 - 7 (1861), 10","New York, NY",American Antiquarian Society Historical Periodicals via EBSCO Host,,,,0.16.0,AK,"1 (1855), 18 - 7 (1861), 10",American Publishers' Circular & Literary Gazette,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2611822&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9k&jid=6J0W&site=ehost-live
EZB163045,"Antiquary (New York, NY 1859)","American Antiquarian Society Historical Periodicals via EBSCO Host, 1 (1859) - 4 (1859)",Volltext (Elektronische Zeitschriftenbibliothek),1859-01-01T00:00:00Z,[1859 TO 1859],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2611915-8,572z,,1 (1859) - 4 (1859),"New York, NY",American Antiquarian Society Historical Periodicals via EBSCO Host,,,,0.16.0,AK,1 (1859) - 4 (1859),"Antiquary (New York, NY 1859)",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2611915&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9k&jid=6J5D&site=ehost-live
EZB163082,"Bibliographical Miscellany, The","American Antiquarian Society Historical Periodicals via EBSCO Host, 1 (1853) - 5 (1854)",Volltext (Elektronische Zeitschriftenbibliothek),1853-01-01T00:00:00Z␟1854-01-01T00:00:00Z,[1853 TO 1854],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2612006-9,572z,,1 (1853) - 5 (1854),London,American Antiquarian Society Historical Periodicals via EBSCO Host,,,,0.16.0,AK,1 (1853) - 5 (1854),"Bibliographical Miscellany, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2612006&bibid=DLA␟https://search.ebscohost.com/login.aspx?direct=true&db=h9k&jid=572T&site=ehost-live
