id,display,callNumberBibliographic_mv,category,categoryContent_mv,categoryMedia_mv,categoryMedium_mv,categoryPublication_mv,categorySub,categorySubSub,classificationSubjectOther_mv,classification_category_mv,classification_display_mv,classification_id_mv,confidential,contributor_display_mv,contributor_id_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationByConference_creator_mv,corporationByConference_display_mv,corporationByConference_id_mv,corporationByConference_role_mv,corporationByTerritory_creator_mv,corporationByTerritory_display_mv,corporationByTerritory_id_mv,corporationByTerritory_role_mv,corporationBy_creator_mv,corporationBy_display_mv,corporationBy_id_mv,corporationBy_role_mv,country_mv,creator_display_mv,creator_id_mv,dateCataloged,dateModified,dateOrigin,dateOriginComment_mv,description_text_mv,description_type_mv,digitalObject_accessLevel_mv,digitalObject_display_mv,digitalObject_fileExtension_mv,digitalObject_hyperlink_mv,digitalObject_id_mv,digitalObject_licenseNote_mv,digitalObject_license_mv,digitalObject_thumbnail_mv,displayAddition1,displayAddition2,displayName,edition,editionNormalized,extent,extentFormat,extentIllustrations_mv,extentSupplements,filterAuthorityRelation_mv,filterAuthorityRole_mv,filterAuthority_mv,filterBibliography_mv,filterCollection_mv,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterFormContent_mv,filterLanguageType_mv,filterLanguage_mv,filterLocationType_mv,filterLocation_mv,filterMedium_mv,filterRecent,filterSource,filterSubject_mv,filterType,genreOther_mv,gnd_id_mv,headword_mv,identifier_id_mv,identifier_type_mv,index,inventory,inventoryMissing,isbn_mv,ismn_mv,issn_mv,item_accessionNumber_mv,item_broadcastDate_mv,item_broadcastStation_mv,item_callNumberCollection_mv,item_callNumberItemSuffix_mv,item_callNumberItem_mv,item_callNumberReadingRoom_mv,item_classification_display_mv,item_classification_id_mv,item_collection_display_mv,item_collection_id_mv,item_corporationAt_display_mv,item_corporationAt_id_mv,item_digitalObject_accessLevel_mv,item_digitalObject_display_mv,item_digitalObject_fileExtension_mv,item_digitalObject_hyperlink_mv,item_digitalObject_id_mv,item_digitalObject_licenseNote_mv,item_digitalObject_license_mv,item_digitalObject_thumbnail_mv,item_display_mv,item_enveloped_mv,item_id_mv,item_location_mv,item_noteOther_mv,item_noteProvenance_mv,item_personAt_display_mv,item_personAt_id_mv,item_provenance_mv,item_usageRestrictionNote_mv,item_usageRestriction_mv,item_virtualRecording_mv,journalIssue_display_mv,journalIssue_id_mv,languageOriginal_mv,language_mv,linkCommonsImage_file_mv,linkCommonsImage_rights_mv,linkFilmportal_mv,linkWikidata,linkWikidataWebsite_mv,linkWikipedia,note,noteBibliography_mv,noteContent_mv,noteExplanatory_text_mv,noteExplanatory_type_mv,noteFootnote_text_mv,noteFootnote_type_mv,noteOther_mv,noteRemark_text_mv,noteRemark_type_mv,noteRequirements_mv,parentIssueDate,parentIssueNumber,parentIssuePage,parentIssueVolume,parentIssueYear,parentIssueYearVolume,parentTitleOriginal_mv,parentVolumeNormalized_mv,parentVolumeTotal,parentVolume_mv,parent_displayAddition1_mv,parent_display_mv,parent_id_mv,parent_titleResponsability_mv,parent_type_mv,personAbout_display_mv,personAbout_id_mv,personBy_creator_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,publicationHistory,publisherOriginalLocation_mv,publisherOriginal_text_mv,publisherOriginal_type_mv,publisher_display_mv,publisher_id_mv,reference_text_mv,reference_type_mv,relation_comment_mv,relation_id_mv,relation_text_mv,relation_type_mv,schemaVersion,scholarlyPublication_date_mv,scholarlyPublication_location_mv,scholarlyPublication_text_mv,scholarlyPublication_type_mv,searchCollectionCreator_display_mv,searchCollectionCreator_id_mv,searchEntityScore,searchEntity_id_mv,searchSuggestPayload,searchSuggestTerm_mv,source,statusCataloging,statusEditing,statusJournalReview,subjectOther_mv,subject_display_mv,subject_id_mv,subject_useTerm_mv,subject_usedFor_mv,subseries,supplements_id_mv,textualHolding_mv,title,titleMain_text,titleOther_language_mv,titleOther_text_mv,titleOther_type_mv,titleResponsability,titleResponsabilityFull,titleShort,titleSuffix,url,usageRestrictionNote,vendor_id_mv,vendor_type_mv,website_description_mv,website_url_mv,workAbout_display_mv,workAbout_id_mv,workAbout_titleOther_text_mv,workCompilation_display_mv,workCompilation_id_mv,work_display_mv,work_id_mv
AK00000121,Wikidata Q23572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,1024427587␟1024289575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q23572,https://www.hbo.com/game-of-thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Wikidata Q23572,,,,,,,,,,,1024427587␟1024289575,GND (Werktitel)␟GND (Werktitel),,,,,,,,,
AK00000122,Emil und die Detektive (1931),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,4546180-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a4a93cce49f1495286c19073e0b27c67,Q25598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Emil und die Detektive (1931),,,,,,,,,,,4546180-6,GND (Werktitel),,,,,,,,,
AK00000123,Der Prozess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,4099250-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kafka%20Der%20Prozess%201925.jpg,© Foto H.-P.Haack | Wikimedia Commons | Public domain,,Q36097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Der Prozess,,,,,,,,,,,4099250-0,GND (Werktitel),,,,,,,,,
AK00000131,"Kästner, Erich <1899-1974>. Das doppelte Lottchen (Kinderbuch : 1949)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,123456789␟4707446-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q135458776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK00000132,"Windeck, Corinna. Das doppelte Lottchen (Hörspiel : 2017)",Bearbeitet als Hörspiel,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,"Kästner, Erich <1899-1974>. Das doppelte Lottchen (Kinderbuch : 1949)",,,,,,,,,,,123456789␟4707446-2,GND (Werktitel)␟GND (Werktitel),,,,,,,,,
AK00000132,"Windeck, Corinna. Das doppelte Lottchen (Hörspiel : 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,␣␟AK00000131,"Das doppelte Lottchen (Film : 2017)␟Kästner, Erich <1899-1974>. Das doppelte Lottchen (Kinderbuch : 1949)",Hörspielbearbeitung von␟Hörspielbearbeitung von,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,"Windeck, Corinna. Das doppelte Lottchen (Hörspiel : 2017)",,,,,,,,,,,,,,,,,,,,,
AK00000141,Statt etwas oder Der letzte Rank : Roman - 1. Auflage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Statt etwas oder Der letzte Rank : Roman - 1. Auflage,,,,,Martin Walser,,,,,,,,,,,,,,,,
AK00000142,Martin Walser: Statt etwas oder Der letzte Rank / Anton Philipp Knittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK00000141,Statt etwas oder Der letzte Rank : Roman - 1. Auflage / Martin Walser,Rezension von,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Martin Walser: Statt etwas oder Der letzte Rank / Anton Philipp Knittel,,,,,,,,,,,,,,,,,,,,,
AK00001001,Zwei verknüpfte Personen mit Indexloch in der Mitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Person 2 (1982–2001),,,,,,,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝Von,Person 1 (1982–2001)␝Funktion Person 1␟Person 2 (1982–2001)␝Funktion Person 2,Person 1 (1982–2001)␟Person 2 (1982–2001),,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001)␟Person 2 (1982–2001),PE00000001␟PE00000002,Funktion Person 1␟Funktion Person 2,,,,,,,,,,,,,0.11.0,,,,,,,,PE00000001␟PE00000002,,,AK,,,,,,,,,,,,Zwei verknüpfte Personen mit Indexloch in der Mitte,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00001001,,,,,,,,,,,,
AK00001002,Eine verknüpfte Person mit Indexloch am Anfang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001),,,,,,,Person 1 (1982–2001)␝Von,Person 1 (1982–2001)␝Funktion Person 2,Person 1 (1982–2001),,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001),PE00000001,Funktion Person 2,,,,,,,,,,,,,0.11.0,,,,,,,,PE00000001,,,AK,,,,,,,,,,,,Eine verknüpfte Person mit Indexloch am Anfang,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00001002,,,,,,,,,,,,
AK00001003,Drei verknüpfte Personen mit nur einer Funktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Person 2 (1982–2001); Person 3 (1982–2001),,,,,,,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝nicht bestimmt␟Person 3 (1982–2001)␝nicht bestimmt,Person 1 (1982–2001)␝Funktion Person 1␟Person 2 (1982–2001)␝nicht bestimmt␟Person 3 (1982–2001)␝nicht bestimmt,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Person 3 (1982–2001),,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Person 3 (1982–2001),PE00000001␟PE00000002␟PE00000003,Funktion Person 1␟␣␟␣,,,,,,,,,,,,,0.11.0,,,,,,,,PE00000001␟PE00000002␟PE00000003,,,AK,,,,,,,,,,,,Drei verknüpfte Personen mit nur einer Funktion,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00001003,,,,,,,,,,,,
AK00001004,Zwei verknüpfte Personen mit vier Funktionen (Funktion 3 und 4 sowie Indexloch überschüssig),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Person 2 (1982–2001),,,,,,,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝Von,Person 1 (1982–2001)␝Funktion Person 1␟Person 2 (1982–2001)␝Funktion Person 2,Person 1 (1982–2001)␟Person 2 (1982–2001),,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001)␟Person 2 (1982–2001),PE00000001␟PE00000002,Funktion Person 1␟Funktion Person 2,,,,,,,,,,,,,0.11.0,,,,,,,,PE00000001␟PE00000002,,,AK,,,,,,,,,,,,Zwei verknüpfte Personen mit vier Funktionen (Funktion 3 und 4 sowie Indexloch überschüssig),,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00001004,,,,,,,,,,,,
AK00002001,Wertetabelle: Code b wird aufgelöst zu Bibliotheksdokumente,,Bibliotheksdokumente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Gedrucktes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Wertetabelle: Code b wird aufgelöst zu Bibliotheksdokumente,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00002001,,,,,,,,,,,,
AK00002002,Mappings: AdressatIn wird zu Adressat normalisiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Mappings: AdressatIn wird zu Adressat normalisiert,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00002002,,,,,,,,,,,,
AK00002003,"Dieser Datensatz enhält ein Zusatzfeld BLABLA, das bei der Konvertierung entfällt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,"Dieser Datensatz enhält ein Zusatzfeld BLABLA, das bei der Konvertierung entfällt.",,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00002003,,,,,,,,,,,,
AK00002004,Von drei Codes in categoryMedia_mv bleibt nur CD erhalten,,,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audio-CD,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Von drei Codes in categoryMedia_mv bleibt nur CD erhalten,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00002004,,,,,,,,,,,,
AK00003001,Konvertierung von 19680522 in 1968-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,1968-05-22T00:00:00Z,1968-05-22,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Konvertierung von 19680522 in 1968-05-22,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00003001,,,,,,,,,,,,
AK00003002,Konvertierung von 19680500 in 1968-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-05,,,,,,,,,,,,,,,,,,,,,,,,,,1968-05-01T00:00:00Z,1968-05,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Konvertierung von 19680500 in 1968-05,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00003002,,,,,,,,,,,,
AK00003003,Konvertierung von 19680000 in 1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,,1968-01-01T00:00:00Z,1968,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Konvertierung von 19680000 in 1968,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00003003,,,,,,,,,,,,
AK00003004,Nichtnormierte Datumsangabe Mai 1968 entfällt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Nichtnormierte Datumsangabe Mai 1968 entfällt,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00003004,,,,,,,,,,,,
AK00003005,Nichtnormierte Datumsangabe 2021/2022 entfällt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Nichtnormierte Datumsangabe 2021/2022 entfällt,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00003005,,,,,,,,,,,,
AK00003006,Zwei nichtnormierte Datumsangaben entfallen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Zwei nichtnormierte Datumsangaben entfallen,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00003006,,,,,,,,,,,,
AK00004001,Inhaltsangabe mit aDis Zeilenumbrüchen <br> und /SP/ die NICHT ersetzt werden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapitel 1: Einleitung<br>Kapitel 2: Hauptteil/SP/Kapitel 3: Schluss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Inhaltsangabe mit aDis Zeilenumbrüchen <br> und /SP/ die NICHT ersetzt werden,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00004001,,,,,,,,,,,,
AK00004002,Drei Fußnoten mit aDIS Zeilenumbrüchen <br> und /SP/ die ersetzt werden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1] Fußnote mit aDIS Zeilenumbruch Variante 1
[2] Fußnote mit aDIS Zeilenumbruch Variante 2
[3] Fußnote ohne Zeilenumbruch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Drei Fußnoten mit aDIS Zeilenumbrüchen <br> und /SP/ die ersetzt werden,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00004002,,,,,,,,,,,,
AK00004003,Inhaltsangabe mit mehr als 100 Zeichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diese Zusammenfassung enthält mehr als 100 Zeichen und hat deshalb einen Zeilenumbruch im Quellformat aDIS Token aber nicht im Zielformat CSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Inhaltsangabe mit mehr als 100 Zeichen,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00004003,,,,,,,,,,,,
AK00004004,"Inhaltsangabe mit fünf Tabs, die durch Leerzeichen ersetzt werden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tabs und Leerzeichen am Ende entfallen:␟Tabs mittendrin:           werden ersetzt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,"Inhaltsangabe mit fünf Tabs, die durch Leerzeichen ersetzt werden.",,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00004004,,,,,,,,,,,,
AK00004005,Nicht-Sortierzeichen entfallen generell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dieser Titel hat jetzt keine Nicht-Sortierzeichen mehr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Nicht-Sortierzeichen entfallen generell.,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00004005,,,,,,,,,,,,
AK00005001,Vertraulicher Datensatz,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Vertraulicher Datensatz,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00005001,,,,,,,,,,,,
AK00005002,Öffentlicher Datensatz,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Öffentlicher Datensatz,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00005002,,,,,,,,,,,,
AK00006001,"Fehlende Angabe in SUCHEF/GFUPER: Zwei Personen (1: beteiligt, 2: -) und zwei Körperschaften (1: urheber, 2: beteiligt)",,,,,,,,,,,,,,Person 1 (1982–2001)␟Körperschaft 2,PE00000001␟KS00000002,,,,,,,,,,,creator␟contributor,Körperschaft 1 (1982–2001)␟Körperschaft 2,KS00000001␟KS00000002,,,Körperschaft 1 (1982–2001),KS00000001,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Person 2 (1982–2001); Körperschaft 1 (1982–2001); Körperschaft 2,,,,,,,Person 1 (1982–2001)␝nicht bestimmt␟Person 2 (1982–2001)␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝nicht bestimmt␟Körperschaft 2␝nicht bestimmt,Person 1 (1982–2001)␝nicht bestimmt␟Person 2 (1982–2001)␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝nicht bestimmt␟Körperschaft 2␝nicht bestimmt,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Körperschaft 1 (1982–2001)␟Körperschaft 2,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contributor␟␣,Person 1 (1982–2001)␟Person 2 (1982–2001),PE00000001␟PE00000002,,,,,,,,,,,,,,0.11.0,,,,,,,,KS00000001␟KS00000002␟PE00000001␟PE00000002,,,AK,,,,,,,,,,,,"Fehlende Angabe in SUCHEF/GFUPER: Zwei Personen (1: beteiligt, 2: -) und zwei Körperschaften (1: urheber, 2: beteiligt)",,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00006001,,,,,,,,,,,,
