source,field,type,description,count,percent,items,unique,most_frequent_value
AU,collection_display_mv,texts,aus BF display,149399,15 %,162201,414,"['G:Tucholsky-Archiv (Marbacher Forschungsbibliothek) - [Geschlossener Bestand der Bibliothek, Nachlass, Autorenbibliothek]']"
AU,collection_id_mv,strings,,149399,15 %,162201,414,['BF00019580']
AU,confidential,boolean,,???,???,???,???,???
AU,corporationAt_display_mv,texts,aus KS display,27567,3 %,27803,378,['Schockenbibliothek']
AU,corporationAt_id_mv,strings,,27567,3 %,27803,378,['KS00134857']
AU,dateCataloged,daterange,,986753,100 %,986753,7655,2021-04-15
AU,dateModified,daterange,,986753,100 %,986753,7546,2021-04-15
AU,digitalObject_accessLevel_mv,strings,aus MM accessLevel,80,0 %,81,3,['public']
AU,digitalObject_display_mv,texts,aus MM display,80,0 %,81,5,['Digitalisat: Zugang']
AU,digitalObject_fileExtension_mv,strings,aus MM fileExtension,3,0 %,4,3,['pdf']
AU,digitalObject_hyperlink_mv,strings,aus MM hyperlink,80,0 %,81,80,['https://digital.dla-marbach.de/viewer/image/AU00380415/?media_access=public&media_license=CC0']
AU,digitalObject_id_mv,strings,,80,0 %,81,80,['MM01562698']
AU,digitalObject_license_mv,strings,aus MM license,77,0 %,77,1,CC0
AU,digitalObject_licenseNote_mv,texts,aus MM license,???,???,???,???,???
AU,digitalObject_thumbnail_mv,strings,aus MM thumbnail,78,0 %,79,78,"['https://digital.dla-marbach.de/viewer/api/v1/records/AU00380415/files/images/AU00380415_0001.tif/full/!480,480/0/default.jpg']"
AU,display,text_normalized,Hauptbezeichnung,986753,100 %,986753,948524,ohne Titel
AU,enveloped,boolean,,64353,7 %,64353,1,True
AU,id,string,,986753,100 %,986753,986753,AU00008374
AU,location_mv,texts,,949019,96 %,949019,26,Bibliotheksmagazin
AU,manifestation_display,text,aus AK display,953474,97 %,953474,848953,Gedichte
AU,manifestation_id,string,,953474,97 %,953474,877836,AK01600579
AU,mediaNumber,string,,986741,100 %,986741,986740,AK004647723
AU,note,text,,112505,11 %,112505,62089,Kopie
AU,noteOther_mv,texts,,6475,1 %,6475,2718,BKSigel:RL
AU,noteProvenance_text_mv,texts,,19303,2 %,31954,9505,['Koselleck-Schlagwort-Notiz']
AU,noteProvenance_type_mv,strings,,21248,2 %,33899,6,"['Inventar-Nummer', 'Sachgebiet']"
AU,personAt_display_mv,texts,aus PE display,119142,12 %,150377,3619,"['Jünger, Ernst (1895-1998)']"
AU,personAt_id_mv,strings,,119142,12 %,150377,3620,['PE00001233']
AU,provenance,boolean,,139015,14 %,139015,1,True
AU,schemaVersion,string,,986753,100 %,986753,1,1.0.0
AU,searchBoost,float,Gewichtung Relevanzranking,986753,100 %,986753,1,0.1
AU,source,string,,986753,100 %,986753,1,AU
AU,statusItem,string,,986753,100 %,986753,4,Verfügbar
AU,statusLoan,string,,986753,100 %,986753,7,Am Standort
AU,url,string,,953474,97 %,953474,953474,https://www.dla-marbach.de/find/opac/id/AK01713466?tx_find_find[au]=AU01008257#tabaccess
AU,usageRestriction,text,,986684,100 %,986684,5,benutzbar
AU,usageRestrictionNote,text,Benutzungshinweis,93973,10 %,93973,13,bedingt benutzbar\nBitte wenden Sie sich an die Auskunft der Bibliothek.\nE-Mail: bibliothek@dla-marbach.de\nTelefon: +49 7144 848 317
AU,virtualRecording,text,,1309,0 %,1309,1179,Tausenderzählung der Auflage nicht ermittelbar
BE,accessionNumber,string,,6490,100 %,6490,6488,HS.1988.0005
BE,corporationAt_display_mv,texts,aus KS display,30,0 %,30,28,Schwäbischer Schillerverein (1895-1947)
BE,corporationAt_id_mv,strings,,30,0 %,30,28,KS00002907
BE,department,string,,6519,100 %,6519,5,HS
BE,display,text_normalized,Hauptbezeichnung,6519,100 %,6519,6446,Unbekannt
BE,id,string,,6519,100 %,6519,6519,BE00001942
BE,personAt_display_mv,texts,aus PE display,332,5 %,374,325,"['Meinke, Hanns (1884-1974)']"
BE,personAt_id_mv,strings,,332,5 %,374,325,['PE00008533']
BE,schemaVersion,string,,6519,100 %,6519,1,1.0.0
BE,searchBoost,float,Gewichtung Relevanzranking,6519,100 %,6519,1,0.1
BE,source,string,,6519,100 %,6519,1,BE
BE,statusLoan,string,,6469,99 %,6469,7,Am Standort
BE,title,text,,6519,100 %,6519,6446,Unbekannt
BE,url,string,,6519,100 %,6519,6519,https://www.dla-marbach.de/find/opac/id/BE00007262
BE,usageRestriction,text,,6480,99 %,6480,4,benutzbar
BE,usageRestrictionComment,text,,82,1 %,82,80,gesperrt
BF,accession_display,text,aus BE display,2926,6 %,2926,660,BE00005721
BF,accession_id,string,,2926,6 %,2926,660,BE00005721
BF,accessionNumber,string,,2926,6 %,2926,660,SU.2010.0002
BF,category,text,,49442,100 %,49442,20,Zeitungsausschnittsammlung der Mediendokumentation
BF,categoryIndex_mv,texts,,1497,3 %,1724,8,['Belletristik']
BF,categorySub,text,,15125,31 %,15125,8,Nachlass
BF,categorySubSub,text,,445,1 %,445,46,Autorenbibliothek
BF,confidential,boolean,,49442,100 %,49442,1,False
BF,content,text,,35504,72 %,35504,17652,Gedruckte literarische Dokumente
BF,corporationAbout_display_mv,texts,aus KS display,176,0 %,202,100,['Rowohlt Verlag (1945-)']
BF,corporationAbout_id_mv,strings,,176,0 %,202,100,['KS00142607']
BF,corporationAbout_role_mv,strings,,4,0 %,6,4,['[Behandelte Körperschaft]']
BF,corporationAt_display_mv,texts,aus KS display,4859,10 %,5730,2176,"['Suhrkamp-Verlag <Frankfurt, Main> (1950-)']"
BF,corporationAt_id_mv,strings,,4859,10 %,5730,2177,['KS00001261']
BF,corporationBy_display_mv,texts,aus KS display,8,0 %,8,7,"Doblin, Claude"
BF,corporationBy_id_mv,strings,,8,0 %,8,7,KS00013306
BF,dateCataloged,daterange,,49442,100 %,49442,4839,1999-03-06
BF,dateModified,daterange,,49442,100 %,49442,4001,2019-01-29
BF,dateOriginEnd,daterange,,4948,10 %,4948,154,2000
BF,dateOriginStart,daterange,,21875,44 %,21875,266,1976
BF,dateOther_mv,texts,,26,0 %,26,6,Verleihung
BF,department,string,,49442,100 %,49442,5,Mediendokumentation
BF,digitalObject_accessLevel_mv,strings,aus MM accessLevel,136,0 %,168,2,['public']
BF,digitalObject_display_mv,texts,aus MM display,140,0 %,175,173,['Hinweise zur Recherche']
BF,digitalObject_fileExtension_mv,strings,aus MM fileExtension,92,0 %,124,2,['pdf']
BF,digitalObject_hyperlink_mv,strings,aus MM hyperlink,136,0 %,168,167,['https://digital.dla-marbach.de/viewer/image/BF00043726/?media_access=campus&media_thumbnail=BF000437263_0001.tif']
BF,digitalObject_id_mv,strings,,140,0 %,175,174,['MM01565502']
BF,digitalObject_license_mv,strings,aus MM license,???,???,???,???,???
BF,digitalObject_licenseNote_mv,texts,aus MM license,???,???,???,???,???
BF,digitalObject_thumbnail_mv,strings,aus MM thumbnail,44,0 %,44,44,"https://digital.dla-marbach.de/viewer/api/v1/records/BF00043738/files/images/BF00043738X_0001.tif/full/!480,480/0/default.jpg"
BF,display,text_normalized,Hauptbezeichnung,49442,100 %,49442,49434,"B:Mühsam, Kreszentia - [Einzelautograph, Einzelautographen]"
BF,displayAddition1,text,Dritte Zeile der Trefferliste,42671,86 %,42671,1415,1 Mappe
BF,displayAddition2,text,,???,???,???,???,???
BF,displayName,text,Zweite Zeile der Trefferliste gebildet aus Personen und Körperschaften,46168,93 %,46168,28586,"Suhrkamp-Verlag <Frankfurt, Main> (1950-)"
BF,displayTree,text,Anzeigetitel für Baumansicht,49442,100 %,49442,47551,Kopien
BF,exportDC,string,Datensatz im DC-Format,49442,100 %,49442,49442,"<oai_dc:dc xmlns:oai_dc=""http://www.openarchives.org/OAI/2.0/oai_dc/"" xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd"">\n  <dc:title>Z:Ludwigsburger Kreiszeitung (2m2) - [Zeitungsausschnittsammlung der Mediendokumentation]</dc:title>\n  <dc:creator>Ludwigsburger Kreiszeitung (1949-)</dc:creator>\n  <dc:type>Zeitungsausschnitt</dc:type>\n (...)"
BF,exportMODS,string,Datensatz im MODS-Format,49442,100 %,49442,49442,"<mods xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://www.loc.gov/mods/v3"" version=""3.8"" xsi:schemaLocation=""http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-8.xsd"">\n  <titleInfo>\n    <title>A:Bruder, Otto - [Bestand, Nachlass]</title>\n  </titleInfo>\n  <name type=""personal"">\n    <namePart>Bruder, Otto (1889-1971)</namePart>\n    <nameIdentifier type=""gnd"">118515829</nameIdentifier>\n    <namePart type=""date (...)"
BF,exportRIS,string,Datensatz im RIS-Format,49442,100 %,49442,49442,"TY  - GEN\nAU  - Frommel, Emil\nAV  - bedingt benutzbar. Die Benutzung ist nach vorheriger Terminabsprache bedingt möglich. Bitte wenden Sie sich nach der Bestellung an das Referat Mediendokumentation.. E-Mail: mediendokumentation@dla-marbach.de\nCN  - BF00008622X\nDA  - 1928\nID  - BF00008622\nM3  - Zeitungsausschnitt\nN1  - Umfang: 1 Mappe\nN2  - Zeitungsausschnitte ab 1928\nTI  - Z:Frommel, Emil - [Zeitungsausschnittsammlung der Mediendokumentation]\nUR  - https://www.dla-marbach.de/find/opac (...)"
BF,extent,text,,42671,86 %,42671,1415,1 Mappe
BF,filterAuthority_mv,strings,Facette Personen und Körperschaften,46168,93 %,50076,29241,"['Grimm, Hans (1875-1959)']"
BF,filterAuthorityRelation_mv,strings,Facette Personen und Körperschaften mit Relationen,46168,93 %,50225,30207,"['Grimm, Hans (1875-1959)␝Unter']"
BF,filterAuthorityRole_mv,strings,Facette Personen und Körperschaften mit Funktionsbezeichnungen,46168,93 %,50225,30210,"['Grimm, Hans (1875-1959)␝Bestandsbildner/Vorbesitzer']"
BF,filterCollection_mv,strings,Facette Sammlung,17480,35 %,17480,17468,"B:Mühsam, Kreszentia"
BF,filterDatePoint_mv,datepoints,Facette Zeit (Zeitpunkte),21878,44 %,26306,292,['1976-01-01T00:00:00Z']
BF,filterDateRange_mv,dateranges,Facette Zeit (Zeiträume),21878,44 %,21878,1706,1976
BF,filterDigital,boolean,Filter Digital,45,0 %,45,1,True
BF,filterFormContent_mv,strings,Facette Form und Inhalt,43348,88 %,43358,11,['Zeitungsausschnitt']
BF,filterLocation_mv,strings,Facette Ort,676,1 %,713,363,['Deutschland <DDR>']
BF,filterLocationType_mv,strings,Facette Ort mit Typ,676,1 %,713,363,['Deutschland <DDR>␝Schlagwort']
BF,filterMultipart,boolean,Filter Mehrteilig,49442,100 %,49442,1,True
BF,filterRecent,daterange,Facette Neu im Katalog,49442,100 %,49442,4839,1999-03-06
BF,filterSource,string,Facette Datenbestand,49442,100 %,49442,1,Nachlässe und Spezialsammlungen
BF,filterSubject_mv,strings,Facette Thema,3490,7 %,3837,2984,['Deutschland <DDR>']
BF,filterType_mv,strings,Facette Medientyp,49442,100 %,49794,5,['Gedrucktes']
BF,id,string,,49442,100 %,49442,49442,BF00050543
BF,itemization_extent_mv,strings,,3637,7 %,4407,387,['1']
BF,itemization_status_mv,strings,,3883,8 %,4670,9,['katalogisiert']
BF,itemization_unit_mv,strings,,3617,7 %,4386,17,['Kästen']
BF,location_mv,texts,,6608,13 %,6684,486,['Regalachse D 26']
BF,mediaNumber,string,,49442,100 %,49442,49442,BF000496021
BF,note,text,,3473,7 %,3473,1993,Geordnet nach der Autorensystematik der Zeitungsausschnittsammlung des Deutschen Literaturarchivs Marbach. Innerhalb der einzelnen Mappen chronologisch geordnet
BF,noteOther_mv,texts,,2323,5 %,2323,1826,---- Photographien ----
BF,order_extent_mv,strings,,4514,9 %,5461,397,['1']
BF,order_status_mv,strings,,26481,54 %,27937,11,['chronologisch geordnet']
BF,order_unit_mv,strings,,4498,9 %,5444,17,['Kästen']
BF,parent_display_mv,texts,aus BF display,10731,22 %,10731,1430,SUA:Suhrkamp/01 Verlagsleitung/Autorenkonvolute - [Standortkonvolut]
BF,parent_id_mv,strings,,10731,22 %,10731,1430,BF00036186
BF,personAbout_display_mv,texts,aus PE display,1683,3 %,1725,1561,"['Schmidt, Arno (1914-1979)']"
BF,personAbout_id_mv,strings,,1683,3 %,1725,1561,['PE00000934']
BF,personAbout_role_mv,strings,,14,0 %,14,2,[Behandelte Person]
BF,personAt_display_mv,texts,aus PE display,41891,85 %,42591,26370,"['Grimm, Hans (1875-1959)']"
BF,personAt_id_mv,strings,,41891,85 %,42591,26372,['PE00017920']
BF,reference_text_mv,texts,,951,2 %,951,720,Jb. XXXIII 465
BF,schemaVersion,string,,49442,100 %,49442,1,1.0.0
BF,searchBoost,float,Gewichtung Relevanzranking,49442,100 %,49442,582,1
BF,searchCollectionCreator_display_mv,texts,Personen/Körperschaften mit Relation „Über“,46168,93 %,48321,28546,"['Suhrkamp-Verlag <Frankfurt, Main> (1950-)']"
BF,searchCollectionCreator_id_mv,strings,Personen/Körperschaften mit Relation „Über“,46168,93 %,48321,28549,['KS00001261']
BF,searchDate_mv,strings,Suche nach Datumsangaben in der Form TT.MM.JJJJ,21878,44 %,26413,383,['1976']
BF,searchEntity_id_mv,strings,IDs der Normdaten-Verweise,46168,93 %,50085,29250,['PE00017920']
BF,searchName_mv,texts,Personen/Körperschaften für erweiterte Suche,46168,93 %,50076,29024,"['Grimm, Hans']"
BF,searchNameAbout_mv,texts,"Personen/Körperschaften mit Relation ""Über"" für erweiterte Suche",1755,4 %,1927,1661,"['Schmidt, Arno']"
BF,searchNameAt_mv,texts,"Personen/Körperschaften mit Relation ""Unter"" für erweiterte Suche",46168,93 %,48298,28338,"['Suhrkamp-Verlag <Frankfurt, Main>']"
BF,searchNameBy_mv,texts,"Personen/Körperschaften mit Relation ""Von"" für erweiterte Suche",???,???,???,???,???
BF,searchNameTo_mv,texts,"Personen/Körperschaften mit Relation ""An"" für erweiterte Suche",???,???,???,???,???
BF,searchVariant_mv,texts,"Verweisungsformen verknüpfter Personen, Körperschaften und Werke",27663,56 %,156425,53435,"['Suhrkamp-Theaterverlag <Frankfurt, Main>', 'Suhrkamp-Verlag <Berlin und Frankfurt, Main>']"
BF,source,string,,49442,100 %,49442,1,BF
BF,statusLoan,string,,49442,100 %,49442,8,Am Standort
BF,subject_display_mv,texts,aus TH display,1751,4 %,1913,1323,['Deutschland <DDR>']
BF,subject_id_mv,strings,,1751,4 %,1913,1323,['TH00017641']
BF,subject_useTerm_mv,texts,aus TH useTerm_display_mv,???,???,???,???,???
BF,subject_usedFor_mv,texts,aus TH usedFor_display_mv,1467,3 %,10064,4302,"['Deutsche Demokratische Republik', 'DDR', 'Deutschland <1949-1990, DDR>', 'German Democratic Republic', 'GDR', 'République Démocratique Allemande', 'RDA', 'Germanskaja Demokratičeskaja Respublika', 'Demokratičeskaja Respublika <Deutschland, DDR>', 'Democratic Republic <Deutschland, DDR>', 'Demokratische Republik <Deutschland, DDR>', 'Niemiecka Republika Demokratyczna', 'NRD', 'Gumhuriyat Almaniya ad-Dimuqratiya', 'República Democrática Alemana', 'Saksan Demokraattisen Tasavallan', 'Repubblica D (...)"
BF,title,text,,49442,100 %,49442,49426,"B:Mühsam, Kreszentia"
BF,titleShort,text,,49240,100 %,49240,37987,Kopien
BF,url,string,,49442,100 %,49442,49442,https://www.dla-marbach.de/find/opac/id/BF00032651
BF,usageRestriction,text,,49442,100 %,49442,3,benutzbar
BF,usageRestrictionComment,text,,483,1 %,483,134,Nur Digitalisat oder Mikroform benutzbar
BF,usageRestrictionNote,text,Benutzungshinweis,49442,100 %,49442,4,bedingt benutzbar\nDie Benutzung ist nach vorheriger Terminabsprache bedingt möglich. Bitte wenden Sie sich nach der Bestellung an das Referat Mediendokumentation.\nE-Mail: mediendokumentation@dla-marbach.de
BF,website_description_mv,texts,,13,0 %,13,7,"Zugang über das Online-Portal ""dichterlesen.net"""
BF,website_url_mv,strings,,14,0 %,14,8,https://www.dichterlesen.net/veranstalter/detail/deutsches-literaturarchiv-marbach/
BI,accession_display,text,aus BE display,16192,51 %,16192,2504,BE00008465
BI,accession_id,string,,16192,51 %,16192,2504,BE00008465
BI,accessionNumber,string,aus BE accessionNumber,16192,51 %,16192,2503,HS.2022.0081
BI,category,text,,31570,100 %,31570,2,Einzelobjekt
BI,categoryMedium_mv,texts,,2835,9 %,5325,23,['Photographie']
BI,categorySub,text,,31570,100 %,31570,33,Photographie
BI,categorySubSub,text,,2621,8 %,2621,41,Fotomappe DLA
BI,collection_display_mv,texts,aus BF display,1261,4 %,1261,580,"J:Luchterhand, Hermann Verlag (Verlagsarchiv) - [Sammlung Bilder und Objekte, Archiv]"
BI,collection_id_mv,strings,,1261,4 %,1261,581,BF00026446
BI,confidential,boolean,,31570,100 %,31570,1,False
BI,corporationAbout_comment_mv,texts,,66,0 %,80,10,['Werbung']
BI,corporationAbout_display_mv,texts,aus KS display,1284,4 %,1355,345,"['Schiller-Nationalmuseum und Deutsches Literaturarchiv <Marbach, Neckar> (1955-2005)']"
BI,corporationAbout_id_mv,strings,,1284,4 %,1355,345,['KS00000246']
BI,corporationAbout_role_mv,strings,,1284,4 %,1355,3,['Veranstaltung']
BI,corporationAt_display_mv,texts,aus KS display,1884,6 %,1925,86,"['S.-Fischer-Verlag <Frankfurt, Main> (1950-)']"
BI,corporationAt_id_mv,strings,,1884,6 %,1925,87,['KS00011786']
BI,corporationBy_comment_mv,texts,,1338,4 %,1418,37,['Fotostudio']
BI,corporationBy_display_mv,texts,aus KS display,2821,9 %,3067,1297,['Atelier Elvira (1887-1928)']
BI,corporationBy_id_mv,strings,,2821,9 %,3067,1298,['KS00031607']
BI,corporationTo_display_mv,texts,aus KS display,21,0 %,21,11,"Schiller-Nationalmuseum und Deutsches Literaturarchiv <Marbach, Neckar> (1955-2005)"
BI,corporationTo_id_mv,strings,,21,0 %,21,11,KS00000246
BI,dateCataloged,daterange,,31570,100 %,31570,3662,2020-10-15
BI,dateModified,daterange,,31570,100 %,31570,2594,2003-09-13
BI,dateNote_mv,texts,,1320,4 %,1581,382,['Vergrößerung']
BI,dateOrigin,text,,26277,83 %,26277,2160,1999-1999
BI,dateOriginComment_mv,texts,,26276,83 %,26276,6619,1887 oder etwas früher
BI,dateOther_mv,texts,,666,2 %,666,224,1997-1997
BI,dateOtherComment_mv,texts,,679,2 %,679,274,1997
BI,digitalObject_accessLevel_mv,strings,aus MM accessLevel,23462,74 %,31599,3,['campus']
BI,digitalObject_display_mv,texts,aus MM display,23464,74 %,31601,31034,['Inhaltsverzeichnis']
BI,digitalObject_fileExtension_mv,strings,aus MM fileExtension,23459,74 %,31596,2,['jpg']
BI,digitalObject_hyperlink_mv,strings,aus MM hyperlink,23461,74 %,31598,31167,['https://digital.dla-marbach.de/iiif/2/0%2f1%2fM3109%2fM3109-0.jpg/full/full/0/default.jpg?media_access=campus']
BI,digitalObject_id_mv,strings,,23464,74 %,31601,31172,['MM00039807']
BI,digitalObject_license_mv,strings,aus MM license,???,???,???,???,???
BI,digitalObject_licenseNote_mv,texts,aus MM license,???,???,???,???,???
BI,digitalObject_thumbnail_mv,strings,aus MM thumbnail,23021,73 %,31054,30623,"['https://digital.dla-marbach.de/iiif/2/0%2f1%2fM3109%2fM3109-0.jpg/full/!480,480/0/default.jpg?media_access=campus']"
BI,dimension_comment_mv,texts,,8126,26 %,16698,4317,"['Bild', 'Papier']"
BI,dimension_depth_mv,strings,,1155,4 %,1598,262,['  1.0']
BI,dimension_diameter_mv,strings,,84,0 %,102,32,['␣']
BI,dimension_height_mv,strings,,25612,81 %,34317,753,['  8.0']
BI,dimension_width_mv,strings,,25493,81 %,34185,716,['  8.0']
BI,display,text_normalized,Hauptbezeichnung,31570,100 %,31570,18701,Porträt Hermann Hesse [Photographie]
BI,displayAddition1,text,Dritte Zeile der Trefferliste,26276,83 %,26276,6619,1887 oder etwas früher
BI,displayAddition2,text,Vierte Zeile der Trefferliste,31568,100 %,31568,29951,Inventarnummer: CO.Altbestand (darin)
BI,displayName,text,Zweite Zeile der Trefferliste gebildet aus Personen und Körperschaften,26325,83 %,26325,6733,Unbekannt
BI,exportDC,string,Datensatz im DC-Format,31570,100 %,31570,31570,"<oai_dc:dc xmlns:oai_dc=""http://www.openarchives.org/OAI/2.0/oai_dc/"" xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd"">\n  <dc:title>Agnes Miegel mit Sylvia Emmrich und anderen [Photographie]</dc:title>\n  <dc:creator>Foto-Lehmann (1930-2003)</dc:creator>\n  <dc:type>Fotografie</dc:type>\n  <dc:date>1964-1964</dc:date>\n  <dc:format> 13. (...)"
BI,exportMODS,string,Datensatz im MODS-Format,31570,100 %,31570,31570,"<mods xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://www.loc.gov/mods/v3"" version=""3.8"" xsi:schemaLocation=""http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-8.xsd"">\n  <titleInfo>\n    <title>Portrait Geno Hartlaub [Photographie]</title>\n  </titleInfo>\n  <name type=""personal"">\n    <namePart>Rühl, Joachim</namePart>\n    <role>\n      <roleTerm type=""text"">Urheber/in</roleTerm>\n    </role>\n  </name>\n  <gen (...)"
BI,exportRIS,string,Datensatz im RIS-Format,31570,100 %,31570,31570,"TY  - GEN\nA2  - Pinthus, Kurt\nAU  - Unbekannt\nCN  - BI000195298\nDA  - 1921\nDA  - 1925\nDB  - J:Pinthus, Kurt\nID  - BI00019529\nKW  - St. Moritz\nKW  - Pinthus, Kurt (1886-1975)\nLB  - Rückseite bezeichnet: ""mit Frau Morgan und Hanne Ralph\nM1  - B 1976.Z 1390\nM3  - Fotografie\nN1  - Darstellungsort: St. Moritz\nN1  - Maße:   8.0 x   5.6\nRN  - Nachlass Kurt Pinthus\nTI  - Kurt Pinthus mit Hanne Ralph und Frau Morgan [Photographie]\nUR  - https://digital.dla-marbach.de/iiif/2/0%2f1%2f5217% (...)"
BI,extent,text,,2640,8 %,2640,406,1 Mappe
BI,filterAuthority_mv,strings,Facette Personen und Körperschaften,31253,99 %,87989,17650,"['Unbekannt', 'Pinthus, Kurt (1886-1975)']"
BI,filterAuthorityRelation_mv,strings,Facette Personen und Körperschaften mit Relationen,31253,99 %,99288,20344,"['Unbekannt␝Von', 'Pinthus, Kurt (1886-1975)␝Über', 'Pinthus, Kurt (1886-1975)␝Unter']"
BI,filterAuthorityRole_mv,strings,Facette Personen und Körperschaften mit Funktionsbezeichnungen,31253,99 %,101204,24295,"['Rilke, Rainer Maria (1875-1926)␝Verfasser/Urheber']"
BI,filterCollection_mv,strings,Facette Sammlung,16231,51 %,16231,577,"J:Kunz-Hutterstrasser, Hermine (Porträtsammlung)"
BI,filterDatePoint_mv,datepoints,Facette Zeit (Zeitpunkte),26335,83 %,37829,294,['1999-01-01T00:00:00Z']
BI,filterDateRange_mv,dateranges,Facette Zeit (Zeiträume),26335,83 %,26897,2199,['1999']
BI,filterDigital,boolean,Filter Digital,23021,73 %,23021,1,True
BI,filterFormContent_mv,strings,Facette Form und Inhalt,31500,100 %,36777,73,['Fotografie']
BI,filterLocation_mv,strings,Facette Ort,2132,7 %,3023,1163,"['New York, NY']"
BI,filterLocationType_mv,strings,Facette Ort mit Typ,2132,7 %,3023,1163,"['New York, NY␝Darstellungsort']"
BI,filterMedium_mv,strings,Facette Sammlung,100,0 %,100,1,Sonstiger Datenträger
BI,filterMultipart,boolean,Filter Mehrteilig (nur Konvolute),2942,9 %,2942,1,True
BI,filterRecent,daterange,Facette Neu im Katalog,31570,100 %,31570,3662,2020-10-15
BI,filterSource,string,Facette Datenbestand,31570,100 %,31570,1,Bilder und Objekte
BI,filterSubject_mv,strings,Facette Thema,28490,90 %,51387,14446,"['Hesse, Hermann (1877-1962)']"
BI,filterType_mv,strings,Facette Medientyp,31570,100 %,31570,1,Bilder und Objekte
BI,id,string,,31570,100 %,31570,31570,BI00029224
BI,inscription,text,,18942,60 %,18942,13157,Rückseite mit Stempel und Beschriftung des Photographen
BI,inventoryNumber,text,,31568,100 %,31568,29951,CO.Altbestand (darin)
BI,item_display_mv,texts,aus AU display,44,0 %,44,27,"D5 (Seeger, Lud.). Deutsches Dichterbuch aus Schwaben : mit epischen, lyrischen und dramatischen Beiträgen : [Textsammlung (Anthologie u.a.m.)]"
BI,item_id_mv,strings,,44,0 %,44,27,AU00378808
BI,item_manifestation_display_mv,texts,aus AK display,44,0 %,44,27,"Deutsches Dichterbuch aus Schwaben : mit epischen, lyrischen und dramatischen Beiträgen : [Textsammlung (Anthologie u.a.m.)]"
BI,item_manifestation_id_mv,strings,,44,0 %,44,27,AK00972472
BI,library_display_mv,texts,aus AK display,110,0 %,110,100,Der Spaziergang - Erste Auflage
BI,library_id_mv,strings,,110,0 %,110,100,AK00253520
BI,location_mv,texts,,30638,97 %,30638,73,Photokonvolute
BI,locationComment,text,,8540,27 %,8540,2240,"(Kunz-Hutterstrasser, Hermine)"
BI,manuscript_display_mv,texts,aus HS display,623,2 %,623,462,"Rilke, Rainer Maria an Rilke, Clara [Briefe]"
BI,manuscript_id_mv,strings,,623,2 %,623,516,HS00690920
BI,material,text,,14956,47 %,14956,6519,Auf Karton montiert
BI,mediaNumber,string,,31570,100 %,31570,31570,BI000271219
BI,note,text,,9165,29 %,9165,6604,Fotoserie.
BI,noteBibliography_mv,texts,,14265,45 %,14265,2204,Nachlass Kurt Pinthus
BI,noteClassification,text,,10362,33 %,10362,7577,Aufnahme in Berlin.
BI,noteDimension,text,,3569,11 %,3569,2077,Photos: Mathias Michaelis
BI,noteObjectType,text,,279,1 %,279,15,Postkarte
BI,parent_display_mv,texts,aus BI display,16964,54 %,16964,1787,Porträtsammlung Hermine Kunz-Hutterstrasser [Sammlung]
BI,parent_id_mv,strings,,16964,54 %,16964,1811,BI00006996
BI,personAbout_comment_mv,texts,,4033,13 %,10879,1353,"['li.', 're.']"
BI,personAbout_display_mv,texts,aus PE display,27157,86 %,44519,11399,"['Hesse, Hermann (1877-1962)']"
BI,personAbout_id_mv,strings,,27157,86 %,44519,11402,['PE00002037']
BI,personAbout_role_mv,strings,,27157,86 %,44519,10,['Dargestellte Person allein']
BI,personAt_display_mv,texts,aus PE display,18420,58 %,19790,1258,"['Kunz-Hutterstrasser, Hermine (1873-1948)']"
BI,personAt_id_mv,strings,,18420,58 %,19790,1259,['PE00324458']
BI,personBy_comment_mv,texts,,3173,10 %,5409,88,"['␣', 'Fotografie']"
BI,personBy_display_mv,texts,aus PE display,24140,76 %,29467,5452,['Unbekannt']
BI,personBy_id_mv,strings,,24140,76 %,29467,5460,['PE00250583']
BI,personBy_role_mv,strings,,24140,76 %,29467,3,['Urheber/in']
BI,personTo_display_mv,texts,aus PE display,1116,4 %,1171,499,['Unbekannt']
BI,personTo_id_mv,strings,,1116,4 %,1171,499,['PE00250583']
BI,photoNegativeNumber_mv,strings,,23093,73 %,31358,30704,['M3109-0']
BI,reference_text_mv,texts,,3380,11 %,3380,2716,"Nicolin, Günther: Kunst zu Kafka. Bonn: bücherstube am theater 1974. S. 29."
BI,schemaVersion,string,,31570,100 %,31570,1,1.0.0
BI,searchBoost,float,Gewichtung Relevanzranking,31570,100 %,31570,1,1
